Pieces;Part No.;Description;Material/Finish
3;70T9550.TL;CLIP top profile door hinge 95°, overlay application, unsprung, boss: screw-on;Nickel plated
3;177H3100E;CLIP mounting plate, straight (20/32 mm), 0 mm, steel, EXPANDO, HA: cam;Nickel plated
3;378M4502S;TANDEMBOX drawer side, height M (83 mm), NL=450 mm, right, for TANDEMBOX plus;R9006 white aluminium/dust grey
3;378M4502S;TANDEMBOX drawer side, height M (83 mm), NL=450 mm, left, for TANDEMBOX plus;R9006 white aluminium/dust grey
1;578.4501M;TANDEMBOX cabinet profile for TIP-ON BLUMOTION, 30 kg, NL=450 mm, right+left;Zinc plated
2;576.4501M;TANDEMBOX cabinet profile for TIP-ON BLUMOTION, 65 kg, NL=450 mm, right+left;Zinc plated
6;ZSF.39A2;TANDEMBOX front fixing bracket, INSERTA, symmetrical;self colour
4;Z96.10E1;TANDEMBOX front stabilisation, EXPANDO;R7037 dust grey
3;Z30D000SL;TANDEMBOX back fixings bracket, height D (224 mm), right+left;R9006 white aluminium
6;ZAA.330C.BT;TANDEMBOX cover cap, rectangular, symmetrical, indented (blum);R7037 dust grey
6;ZRG.396V.IC;TANDEMBOX longside gallery rail (upper), NL=450 mm;R9006 white aluminium/dust grey
3;Z37H418S.E;TANDEMBOX BOXSIDE, height D, NL=450 mm, right+left;R9006 white aluminium/dust grey
1;956A1004;TIP-ON for doors (set), long version, with magnet;Silk white
1;956A1201;TIP-ON adapter plate for doors, straight (20/32 mm);Silk white
1;T60B3530;TIP-ON BLUMOTION set (Unit + latch) for TANDEMBOX, Type L3, NL=350-600 mm, Total weight of the pull-out=10-30 kg, right+left;R7037 dust grey
2;T60B3560;TIP-ON BLUMOTION set (Unit + latch) for TANDEMBOX, Type L5, NL=350-650 mm, Total weight of the pull-out=30-65 kg, right+left;Black
6;T60.000D;TIP-ON BLUMOTION adapter;R7035 light grey
3;T60.1125W;TIP-ON BLUMOTION synchronisation linkage, Length=1125 mm;Grey
